name,birth_year,death_year,description,ascension_year
Abdul Halim Majalengka,1887,1962,Aktivis kemerdekaan dan Ulama; Badan Penyelidik Usaha Persiapan Kemerdekaan Indonesia,2008
Abdul Haris Nasution,1918,2000,Jenderal Angkatan Darat; dua kali diangkat sebagai Kepala Staf Angkatan Darat,2002
Abdul Kadir,1771,1875,Bangsawan dari Melawi; menawarkan pengembangan ekonomi; melakukan perlawanan terhadap pasukan kolonial Belanda,1999
Abdul Kahar Mudzakkir,1907,1973,,2019
Abdul Malik Karim Amrullah,1908,1981,Sarjana Islam dan penulis sekaligus tokoh Muhammadiyah.,2011
Abdul Muis,1883,1959,Politisi; Anggota Volksraad; kemudian penulis,1959
Abdulrachman Saleh,1909,1947,Tokoh awal dalam Angkatan Udara; terbunuh ketika membawa keperluan medis karena ditembak oleh Belanda,1974
Abdul Wahab Hasbullah,1888,1971,Tokoh Islam; salah seorang pendiri Nadhlatul Ulama,2014
Andi Abdullah Bau Massepe,1918,1947,Bangsawan Bugis; memimpin penyerangan melawan pasukan Belanda selama Revolusi Nasional; seorang putra dari Andi Mappanyukki,2005
Abdurrahman Baswedan,1908,1986,Nasionalis dan mubaligh yang meyakinkan Mesir untuk mengakui kemerdekaan Indonesia secara de facto,2018
Achmad Subarjo,1896,1978,Aktivis kemerdekaan dan menteri pemerintahan,2009
Adam Malik,1917,1984,Jurnalis dan aktivis kemerdekaan; Wakil Presiden Indonesia ketiga,1998
Adnan Kapau Gani,1905,1968,Aktivis kemerdekaan yang menjadi menteri pemerintahan; menyeludupkan senjata untuk mendukung Revolusi Nasional,2007
Nyi Ageng Serang,1752,1828,Pemimpin gerilyawan Jawa yang memimpin penyerangan terhadap kolonial Belanda atas beberapa pendudukan,1974
Agus Salim,1884,1954,Aktivis kemerdekaan; politisi; pemimpin Islam Minang,1961
Agustinus Adisucipto,1916,1947,Tokoh awal dalam Angkatan Udara; terbunuh ketika membawa keperluan medis karena ditembak oleh Belanda,1974
Ahmad Dahlan,1868,1934,Pemimpin Islam Jawa; mendirikan Muhammadiyah; suami Siti Walidah,1961
Ahmad Rifa'i,1786,1870,Pemikir dan penulis Islam yang dikenal karena pernyataan anti-Belandanya,2004
Ahmad Yani,1922,1965,Pemimpin Angkatan Darat; terbunuh saat Gerakan 30 September,1965
Alexander Andries Maramis,1897,1977,Anggota BPUPKI; Menteri Keuangan Indonesia; dan diplomat,2019
