nama_penjara,provinsi
LAPAS KELAS I BANDAR LAMPUNG,LAMPUNG
LAPAS KELAS I BATU HIGH RISK NARKOTIKA NUSAKAMBANGAN,JAWA TENGAH
LAPAS KELAS I CIPINANG,DKI JAKARTA
LAPAS KELAS I CIREBON,JAWA BARAT
LAPAS KELAS I MADIUN,JAWA TIMUR
LAPAS KELAS I MAKASSAR,SULAWESI SELATAN
LAPAS KELAS I MALANG,JAWA TIMUR
LAPAS KELAS I MEDAN,SUMATERA UTARA
LAPAS KELAS I PALEMBANG,SUMATERA SELATAN
LAPAS KELAS I SEMARANG,JAWA TENGAH
LAPAS KELAS I SUKAMISKIN,JAWA BARAT
LAPAS KELAS I SURABAYA,JAWA TIMUR
LAPAS KELAS I TANGERANG,BANTEN
LAPAS KELAS II A ABEPURA,PAPUA
LAPAS KELAS II A AMBARAWA,JAWA TENGAH
LAPAS KELAS II A AMBON,MALUKU
LAPAS KELAS II A BAGAN SIAPI-API,RIAU
LAPAS KELAS II A BALIKPAPAN,KALIMANTAN TIMUR
LAPAS KELAS II A BANCEUY BANDUNG,JAWA BARAT
LAPAS KELAS II A BANDA ACEH,ACEH
LAPAS KELAS II A BANGKINANG,RIAU
LAPAS KELAS II A BANJARMASIN,KALIMANTAN SELATAN
LAPAS KELAS II A BANYUASIN,SUMATERA SELATAN
LAPAS KELAS II A BANYUWANGI,JAWA TIMUR
LAPAS KELAS II A BATAM,KEPULAUAN RIAU
LAPAS KELAS II A BAUBAU,SULAWESI TENGGARA
LAPAS KELAS II A BEKASI,JAWA BARAT
LAPAS KELAS II A BENGKALIS,RIAU
LAPAS KELAS II A BENGKULU,BENGKULU
LAPAS KELAS II A BESI NUSAKAMBANGAN,JAWA TENGAH
LAPAS KELAS II A BINJAI,SUMATERA UTARA
LAPAS KELAS II A BOGOR,JAWA BARAT
LAPAS KELAS II A BOJONEGORO,JAWA TIMUR
LAPAS KELAS II A BONTANG,KALIMANTAN TIMUR
LAPAS KELAS II A BUKITTINGGI,SUMATERA BARAT
LAPAS KELAS II A BULUKUMBA,SULAWESI SELATAN
LAPAS KELAS II A CIBINONG,JAWA BARAT
LAPAS KELAS II A CIKARANG,JAWA BARAT
LAPAS KELAS II A CILEGON,BANTEN
LAPAS KELAS II A CURUP,BENGKULU
LAPAS KELAS II A GORONTALO,GORONTALO
LAPAS KELAS II A JAMBI,JAMBI
LAPAS KELAS II A JEMBER,JAWA TIMUR
LAPAS KELAS II A KALIANDA,LAMPUNG
LAPAS KELAS II A KARAWANG,JAWA BARAT
LAPAS KELAS II A KEDIRI,JAWA TIMUR
LAPAS KELAS II A KEMBANG KUNING NUSAKAMBANGAN,JAWA TENGAH
LAPAS KELAS II A KENDAL,JAWA TENGAH
LAPAS KELAS II A KENDARI,SULAWESI TENGGARA
LAPAS KELAS II A KEROBOKAN,BALI
LAPAS KELAS II A KOTABARU,KALIMANTAN SELATAN
LAPAS KELAS II A KOTABUMI,LAMPUNG
LAPAS KELAS II A KUNINGAN,JAWA BARAT
LAPAS KELAS II A KUPANG,NUSA TENGGARA TIMUR
LAPAS KELAS II A LABUHAN RUKU,SUMATERA UTARA
LAPAS KELAS II A LAHAT,SUMATERA SELATAN
LAPAS KELAS II A LHOK SEUMAWE,ACEH
LAPAS KELAS II A LUBUK LINGGAU,SUMATERA SELATAN
LAPAS KELAS II A MAGELANG,JAWA TENGAH
LAPAS KELAS II A MANADO,SULAWESI UTARA
LAPAS KELAS II A MATARAM,NUSA TENGGARA BARAT
LAPAS KELAS II A METRO,LAMPUNG
LAPAS KELAS II A PADANG,SUMATERA BARAT
LAPAS KELAS II A PALANGKARAYA,KALIMANTAN TENGAH
LAPAS KELAS II A PALOPO,SULAWESI SELATAN
LAPAS KELAS II A PALU,SULAWESI TENGAH
LAPAS KELAS II A PAMEKASAN,JAWA TIMUR
LAPAS KELAS II A PANCUR BATU,SUMATERA UTARA
LAPAS KELAS II A PANGKAL PINANG,BANGKA BELITUNG
LAPAS KELAS II A PARE-PARE,SULAWESI SELATAN
LAPAS KELAS II A PASIR PUTIH NUSAKAMBANGAN,JAWA TENGAH
LAPAS KELAS II A PEKALONGAN,JAWA TENGAH
LAPAS KELAS II A PEKANBARU,RIAU
LAPAS KELAS II A PEMATANG SIANTAR,SUMATERA UTARA
LAPAS KELAS II A PERMISAN NUSAKAMBANGAN,JAWA TENGAH
LAPAS KELAS II A PONTIANAK,KALIMANTAN BARAT
LAPAS KELAS II A PURWOKERTO,JAWA TENGAH
LAPAS KELAS II A RANTAU PRAPAT,SUMATERA UTARA
LAPAS KELAS II A SALEMBA,DKI JAKARTA
LAPAS KELAS II A SAMARINDA,KALIMANTAN TIMUR
LAPAS KELAS II A SERANG,BANTEN
LAPAS KELAS II A SIBOLGA,SUMATERA UTARA
LAPAS KELAS II A SIDOARJO,JAWA TIMUR
LAPAS KELAS II A SRAGEN,JAWA TENGAH
LAPAS KELAS II A SUBANG,JAWA BARAT
LAPAS KELAS II A SUMBAWA BESAR,NUSA TENGGARA BARAT
LAPAS KELAS II A TANGERANG,BANTEN
LAPAS KELAS II A TANJUNG PINANG,KEPULAUAN RIAU
LAPAS KELAS II A TANJUNG RAJA,SUMATERA SELATAN
LAPAS KELAS II A TARAKAN,KALIMANTAN TIMUR
LAPAS KELAS II A TEMBILAHAN,RIAU
LAPAS KELAS II A TENGGARONG,KALIMANTAN TIMUR
LAPAS KELAS II A TERNATE,MALUKU UTARA
LAPAS KELAS II A WAINGAPU,NUSA TENGGARA TIMUR
LAPAS KELAS II A WATAMPONE,SULAWESI SELATAN
LAPAS KELAS II A YOGYAKARTA,D.I. YOGYAKARTA
LAPAS KELAS II B AMPANA,SULAWESI TENGAH
LAPAS KELAS II B AMUNTAI,KALIMANTAN SELATAN
LAPAS KELAS II B ARGAMAKMUR,BENGKULU
LAPAS KELAS II B ATAMBUA,NUSA TENGGARA TIMUR
LAPAS KELAS II B BANGKO,JAMBI
LAPAS KELAS II B BANJAR,JAWA BARAT
LAPAS KELAS II B BANJAR BARU,KALIMANTAN SELATAN
LAPAS KELAS II B BIAK,PAPUA
LAPAS KELAS II B BIREUN,ACEH
LAPAS KELAS II B BITUNG,SULAWESI UTARA
LAPAS KELAS II B BLANGKEJEREN,ACEH
LAPAS KELAS II B BLANGPIDIE,ACEH
LAPAS KELAS II B BLITAR,JAWA TIMUR
LAPAS KELAS II B BOALEMO,GORONTALO
LAPAS KELAS II B BONDOWOSO,JAWA TIMUR
LAPAS KELAS II B BREBES,JAWA TENGAH
LAPAS KELAS II B CIAMIS,JAWA BARAT
LAPAS KELAS II B CIANJUR,JAWA BARAT
LAPAS KELAS II B CILACAP,JAWA TENGAH
LAPAS KELAS II B DOMPU,NUSA TENGGARA BARAT
LAPAS KELAS II B EMPAT LAWANG,SUMATERA SELATAN
