penerbit,no_anggota,wilayah,tahun_masuk,anggota_luar_biasa
Boebon Jaya,001/DIA/96,DI Aceh,1996,0
Citra Karya,002/DIA/92,DI Aceh,1992,0
Dominan,003/DIA/99,DI Aceh,1999,0
Pustaka Tunggal,004/DIA/98,DI Aceh,1998,0
Pena,005/DIA/03,DI Aceh,2003,0
Ar-Rijal Institute,006/DIA/08,DI Aceh,2008,0
Ar Raniry Press,007/DIA/08,DI Aceh,2008,0
Yayasan Adnin (Adnin Foundation),008/DIA/09,DI Aceh,2009,0
Lembaga Swadaya Masyarakat LAPENA,009/DIA/09,DI Aceh,2009,0
Al Washliyah University Press (AUP),010/DIA/09,DI Aceh,2009,0
LKAS (Lembaga Kajian Agama dan Sosial) Banda Aceh,011/DIA/2010,DI Aceh,2010,0
BPNB Banda Aceh Press,012/DIA/2013,DI Aceh,2013,0
Lembaga Penerbitan Balai Bahasa Banda Aceh,013/DIA/2013,DI Aceh,2013,0
Lembaga Naskah Aceh (NASA),014/DIA/2013,DI Aceh,2013,0
Lembaga Studi Agama dan Masyarakat (LSAMA),015/DIA/2014,DI Aceh,2014,0
Pusat Dokumentasi Dan Informasi Aceh (PDIA),016/DIA/2014,DI Aceh,2014,0
Gema Aneuk Muda Nanggroe Aceh (GAMNA),016/DIA/2014,DI Aceh,2014,0
Syiah Kuala University Press,018/DIA/2014,DI Aceh,2014,0
Bandar Publishing,019/DIA/2017,DI Aceh,2017,0
Afini Jaya Pustaka,001/DKI/87,DKI Jakarta,1987,0
Akademika Pressindo,002/DKI/85,DKI Jakarta,1985,0
Al Husna Zikra,003/DKI/79,DKI Jakarta,1979,0
Al Mawardi Prima,004/DKI/96,DKI Jakarta,1996,0
Alfonso Pratama,005/DKI/01,DKI Jakarta,2001,0
Amalia,006/DKI/79,DKI Jakarta,1979,0
Anas Jaya,007/DKI/94,DKI Jakarta,1994,0
Anugrah Jaya,008/DKI/94,DKI Jakarta,1994,0
Ahsana Indah Kitaba,009/DKI/87,DKI Jakarta,1987,0
Asdi Mahasatya,010/DKI/00,DKI Jakarta,2000,0
Aya Media Pustaka,011/DKI/85,DKI Jakarta,1985,0
Balai Aksara,012/DKI/82,DKI Jakarta,1982,0
Balai Pustaka,013/DKI/79,DKI Jakarta,1979,0
Benua Intan Berlian,014/DKI/00,DKI Jakarta,2000,0
Brata Aksara Media,015/DKI/82,DKI Jakarta,1982,0
Bina Rena Pariwara,016/DKI/90,DKI Jakarta,1990,0
Buana Swarakita Senada,017/DKI/99,DKI Jakarta,1999,0
Bulan Bintang,018/DKI/86,DKI Jakarta,1986,0
Bumi Aksara,019/DKI/90,DKI Jakarta,1990,0
Bumi Pertiwi,020/DKI/95,DKI Jakarta,1995,0
Cakra Media,021/DKI/97,DKI Jakarta,1997,0
Candi Cipta Paramuda,022/DKI/94,DKI Jakarta,1994,0
Cendekia Sentra Muslim,023/DKI/01,DKI Jakarta,2001,0
Cileles Jaya,024/DKI/92,DKI Jakarta,1992,0
Cita Putra Bangsa,025/DKI/95,DKI Jakarta,1995,0
Defiana Jaya Lestari,026/DKI/94,DKI Jakarta,1994,0
Demina Prima Desain,027/DKI/93,DKI Jakarta,1993,0
Dian Ariesta,028/DKI/00,DKI Jakarta,2000,0
Dinastindo Adiperkasa Internasional,029/DKI/92,DKI Jakarta,1992,0
Diprotama Selaras,030/DKI/01,DKI Jakarta,2001,0
Djambatan,031/DKI/66,DKI Jakarta,1966,0
Dwi Segara,033/DKI/83,DKI Jakarta,1983,0
EGC,034/DKI/83,DKI Jakarta,1983,0
Elex Media Komputindo,035/DKI/87,DKI Jakarta,1987,0
Empiris Media Lugas,036/DKI/98,DKI Jakarta,1998,0
Enrique Indonesia,037/DKI/00,DKI Jakarta,2000,0
Penerbit Erlangga Mahameru,038/DKI/87,DKI Jakarta,1987,0
Fikahati Aneska,039/DKI/91,DKI Jakarta,1991,0
Gakushudo,040/DKI/92,DKI Jakarta,1992,0
Galaxy Puspa Mega,041/DKI/94,DKI Jakarta,1994,0
Gaya Media Pratama,042/DKI/95,DKI Jakarta,1995,0
Gema Insani Press,043/DKI/84,DKI Jakarta,1984,0
Gemawindu Panca Perkasa,044/DKI/97,DKI Jakarta,1997,0
Ghalia Indonesia,045/DKI/82,DKI Jakarta,1982,0
Golden Trayon Press,046/DKI/85,DKI Jakarta,1985,0
Gramedia Pustaka Utama,047/DKI/74,DKI Jakarta,1974,0
Gramedia Widiasarana Indonesia,048/DKI/91,DKI Jakarta,1991,0
Gunung Jati,049/DKI/93,DKI Jakarta,1993,0
Gunung Mulia BPK,050/DKI/74,DKI Jakarta,1974,0
Hanuman Sakti,051/DKI/00,DKI Jakarta,2000,0
Harvest Publication House,052/DKI/97,DKI Jakarta,1997,0
Hidakarya Agung,053/DKI/74,DKI Jakarta,1974,0
Idayus,054/DKI/80,DKI Jakarta,1980,0
Immanuel (Yayasan Pekabaran Injil),055/DKI/90,DKI Jakarta,1990,0
Info Bank ( Infoarta Pratama ),056/DKI/93,DKI Jakarta,1993,0
Intermasa,057/DKI/90,DKI Jakarta,1990,0
Inti Buku Utama,058/DKI/94,DKI Jakarta,1994,0
Intimedia Ciptanusantara,059/DKI/97,DKI Jakarta,1997,0
IPA Abong,060/DKI/01,DKI Jakarta,2001,0
Jenar Melati Wangi,061/DKI/92,DKI Jakarta,1992,0
Karya Indah,062/DKI/79,DKI Jakarta,1979,0
Katalis Mitra Plaosan,063/DKI/82,DKI Jakarta,1982,0
Kesaint Blanc Indah,064/DKI/86,DKI Jakarta,1986,0
Komunikasi Bina Kasih,066/DKI/96,DKI Jakarta,1996,0
Lembaga Alkitab Indonesia,067/DKI/97,DKI Jakarta,1997,0
Lentera,068/DKI/95,DKI Jakarta,1995,0
Lider,069/DKI/00,DKI Jakarta,2000,0
Logos Wacana Ilmu,070/DKI/97,DKI Jakarta,1997,0
Mahkota,071/DKI/90,DKI Jakarta,1990,0
Margi Wahyu,072/DKI/00,DKI Jakarta,2000,0
Media Buana Indonesia,073/DKI/95,DKI Jakarta,1995,0
Media Da'wah,074/DKI/88,DKI Jakarta,1988,0
Mega Media Abadi,075/DKI/86,DKI Jakarta,1986,0
Metropos,076/DKI/95,DKI Jakarta,1995,0
Mitra Info,077/DKI/96,DKI Jakarta,1996,0
Musika,078/DKI/88,DKI Jakarta,1988,0
Mutiara Sumber Widya,079/DKI/88,DKI Jakarta,1988,0
Nisata Mitra Sejati,080/DKI/95,DKI Jakarta,1995,0
Novindo Pustaka Mandiri,081/DKI/96,DKI Jakarta,1996,0
Pustaka Obor Indonesia,082/DKI/88,DKI Jakarta,1988,0
Obor,083/DKI/95,DKI Jakarta,1995,0
Papas Sinar Sinanti,084/DKI/00,DKI Jakarta,2000,0
Paramadina,085/DKI/99,DKI Jakarta,1999,0
Pelita Indonesia,086/DKI/85,DKI Jakarta,1985,0
Penebar Swadaya,087/DKI/81,DKI Jakarta,1981,0
Permata Artistika Kreasi,088/DKI/00,DKI Jakarta,2000,0
Persatuan Ananda Marga Indonesia,089/DKI/91,DKI Jakarta,1991,0
Persekutuan Pembaca Alkitab,090/DKI/94,DKI Jakarta,1994,0
Persona Prajapurna,091/DKI/94,DKI Jakarta,1994,0
Perca,092/DKI/95,DKI Jakarta,1995,0
Pradnya Paramita (Persero),093/DKI/68,DKI Jakarta,1968,0
Penerbitan Sarana Bobo,094/DKI/68,DKI Jakarta,1968,0
Pusat Profil & Biografi Indonesia,095/DKI/00,DKI Jakarta,2000,0
Pustaka Al Kautsar,096/DKI/94,DKI Jakarta,1994,0
Pustaka Antara,097/DKI/86,DKI Jakarta,1986,0
Pustaka Alvabet,098/DKI/00,DKI Jakarta,2000,0
Pustaka Binaman Pressindo,099/DKI/83,DKI Jakarta,1983,0
Pustaka Cidesindo,100/DKI/96,DKI Jakarta,1996,0
Pustaka Firdaus,101/DKI/85,DKI Jakarta,1985,0
Pustaka LP3ES Indonesia,102/DKI/76,DKI Jakarta,1976,0
Pustaka Panjimas,103/DKI/88,DKI Jakarta,1988,0
Pustaka Pembangunan Swadaya Nusantara,104/DKI/92,DKI Jakarta,1992,0
Pustaka Sinar Harapan,105/DKI/81,DKI Jakarta,1981,0
Pustaka Utama Grafiti,106/DKI/88,DKI Jakarta,1988,0
Pustaka Warga Negara,107/DKI/83,DKI Jakarta,1983,0
Pustaka Widya Utama,108/DKI/95,DKI Jakarta,1995,0
Raja Grafindo Persada,109/DKI/88,DKI Jakarta,1988,0
Rakaditu,110/DKI/81,DKI Jakarta,1981,0
Restu Agung,111/DKI/97,DKI Jakarta,1997,0
Rineka Cipta,112/DKI/90,DKI Jakarta,1990,0
Robbani Press,113/DKI/00,DKI Jakarta,2000,0
Roda Pengetahuan,114/DKI/94,DKI Jakarta,1994,0
Ruhama,115/DKI/94,DKI Jakarta,1994,0
Safir Alam,116/DKI/83,DKI Jakarta,1983,0
Salemba Empat,117/DKI/83,DKI Jakarta,1983,0
Serambi Ilmu Semesta,118/DKI/01,DKI Jakarta,2001,0
Simplex,119/DKI/85,DKI Jakarta,1985,0
Sinar Grafika,120/DKI/93,DKI Jakarta,1993,0
Srikandi Megahpratama,121/DKI/94,DKI Jakarta,1994,0
Suara Baru Jakarta,122/DKI/96,DKI Jakarta,1996,0
Sumber Harapan,123/DKI/01,DKI Jakarta,2001,0
Swakarya,124/DKI/94,DKI Jakarta,1994,0
Tarity Samudra Berlian,125/DKI/01,DKI Jakarta,2001,0
Tatanusa,126/DKI/99,DKI Jakarta,1999,0
Tema Baru,127/DKI/00,DKI Jakarta,2000,0
Tintamas Indonesia,128/DKI/83,DKI Jakarta,1983,0
Tira Pustaka,129/DKI/81,DKI Jakarta,1981,0
Toko Gunung Agung,130/DKI/99,DKI Jakarta,1999,0
Tribuana,131/DKI/83,DKI Jakarta,1983,0
Tropicasurya Inticipta,132/DKI/01,DKI Jakarta,2001,0
Universitas Indonesia (UI Press),133/DKI/83,DKI Jakarta,1983,0
Universitas Trisakti,134/DKI/99,DKI Jakarta,1999,0
UPN Veteran Jakarta,135/DKI/83,DKI Jakarta,1983,0
Widyadara,136/DKI/83,DKI Jakarta,1983,0
Wira Mandala Pustaka,137/DKI/98,DKI Jakarta,1998,0
Wonosari Sawunggaling Enterprise,138/DKI/91,DKI Jakarta,1991,0
Yasperindo Selaras,139/DKI/01,DKI Jakarta,2001,0
Yovidherci,140/DKI/91,DKI Jakarta,1991,0
Yudhistira - Ghalia Indonesia,141/DKI/83,DKI Jakarta,1983,0
Pedoman Ilmu Jaya,142/DKI/81,DKI Jakarta,1981,0
Lazuardi Putra Pertiwi,143/DKI/95,DKI Jakarta,1995,0
Miswar,144/DKI/80,DKI Jakarta,1980,0
Nina Dinamika,145/DKI/89,DKI Jakarta,1989,0
Sambaa's,146/DKI/98,DKI Jakarta,1998,0
Media Antar Kota,147/DKI/92,DKI Jakarta,1992,0
Kapolaga Mas,148/DKI/94,DKI Jakarta,1994,0
Andesreko Persada,149/DKI/94,DKI Jakarta,1994,0
Andesreko Dinamika,150/DKI/94,DKI Jakarta,1994,0
Cipta Prima Budaya,151/DKI/94,DKI Jakarta,1994,0
Tirta Pratiwi Sejati,152/DKI/96,DKI Jakarta,1996,0
Sisi Sejoli Panunggal,153/DKI/96,DKI Jakarta,1996,0
Pustaka Putra Khatulistiwa,154/DKI/95,DKI Jakarta,1995,0
Sasama Mitra Suksesa,155/DKI/98,DKI Jakarta,1998,0
Danau Singkarak,156/DKI/85,DKI Jakarta,1985,0
Jariangau,157/DKI/94,DKI Jakarta,1994,0
Prenhallindo,158/DKI/97,DKI Jakarta,1997,0
Universitas Terbuka,159/DKI/83,DKI Jakarta,1983,0
Rora Karya,160/DKI/79,DKI Jakarta,1979,0
Dian Rakyat,161/DKI/66,DKI Jakarta,1966,0
Graha Pustaka,162/DKI/01,DKI Jakarta,2001,0
Tursina,163/DKI/93,DKI Jakarta,1993,0
Centre for Strategic and International Studies (CSIS),164/DKI/83,DKI Jakarta,1983,0
Aries Lima,165/DKI/76,DKI Jakarta,1976,0
Misaka Galiza,166/DKI/98,DKI Jakarta,1998,0
Sarana Dwi Tunggal,167/DKI/94,DKI Jakarta,1994,0
Arya Duta,168/DKI/01,DKI Jakarta,2001,0
Pustaka Azzam,169/DKI/01,DKI Jakarta,2001,0
Akbar Media Eka Sarana,170/DKI/01,DKI Jakarta,2001,0
Satu Buku,171/DKI/01,DKI Jakarta,2001,0
Dyatama Milenia,172/DKI/01,DKI Jakarta,2001,0
Yulia Agung Pratama,173/DKI/02,DKI Jakarta,2002,0
Rinjeni Abadi,174/DKI/02,DKI Jakarta,2002,0
Armandelta Selaras,175/DKI/02,DKI Jakarta,2002,0
Dua Sehati,176/DKI/02,DKI Jakarta,2002,0
Gaya Favorit Press,177/DKI/02,DKI Jakarta,2002,0
Anaksaleh Pratama,178/DKI/02,DKI Jakarta,2002,0
The Jakarta Consulting Group,179/DKI/02,DKI Jakarta,2002,0
Wahana Dinamika Karya,180/DKI/02,DKI Jakarta,2002,0
Delta Pamungkas,181/DKI/02,DKI Jakarta,2002,0
Saraswati Pariwara,182/DKI/02,DKI Jakarta,2002,0
Gading Inti Prima,183/DKI/02,DKI Jakarta,2002,0
Maha Bodhi Indonesia,184/DKI/02,DKI Jakarta,2002,0
Lontar Mas,185/DKI/02,DKI Jakarta,2002,0
Dalancang Seta,186/DKI/02,DKI Jakarta,2002,0
Trubus Swadaya,187/DKI/02,DKI Jakarta,2002,0
Kharisma Nur,188/DKI/02,DKI Jakarta,2002,0
Citra Dinamika Pratama,189/DKI/02,DKI Jakarta,2002,0
Bina Utama Perkasatama Publishing,190/DKI/02,DKI Jakarta,2002,0
Nuansa Madani,191/DKI/02,DKI Jakarta,2002,0
Zahra Publ. House,192/DKI/02,DKI Jakarta,2002,0
Zikrul Hakim,193/DKI/02,DKI Jakarta,2002,0
Mediacita,194/DKI/02,DKI Jakarta,2002,0
Republika Penerbit (Pustaka Abdi Bangsa),195/DKI/02,DKI Jakarta,2002,0
Pustaka Thariqul Izzah,196/DKI/02,DKI Jakarta,2002,0
Citra Harta Prima,197/DKI/02,DKI Jakarta,2002,0
Indira,198/DKI/02,DKI Jakarta,2002,0
Ind-Hill Co.,199/DKI/02,DKI Jakarta,2002,0
Kebayoran Widyaripta,200/DKI/02,DKI Jakarta,2002,0
Datakom Lintas Buana,201/DKI/02,DKI Jakarta,2002,0
Listafariska Putra,202/DKI/02,DKI Jakarta,2002,0
Narya Gunatra (Majalah Nirmala),203/DKI/02,DKI Jakarta,2002,0
Felita Nursatama Lestari,204/DKI/02,DKI Jakarta,2002,0
Khairul Bayaan,205/DKI/02,DKI Jakarta,2002,0
Piranti Darma Kalokatama,206/DKI/02,DKI Jakarta,2002,0
Lembaga Kajian dan Pengembangan Sumber Daya Manusia (Lakpesdam),207/DKI/02,DKI Jakarta,2002,0
Jakarta Consulting Group,208/DKI/02,DKI Jakarta,2002,0
Atalya Rileni Sudeco,209/DKI/03,DKI Jakarta,2003,0
Rumpun Dian Nugraha,210/DKI/03,DKI Jakarta,2003,0
Cahaya Kristal Media Utama,211/DKI/03,DKI Jakarta,2003,0
Adfale Prima Cipta,212/DKI/03,DKI Jakarta,2003,0
Indradjaya,213/DKI/2015,DKI Jakarta,2015,0
Pesagimandiri Perkasa,214/DKI/03,DKI Jakarta,2003,0
Pratasejati Mandiri,215/DKI/03,DKI Jakarta,2003,0
Dewata Publishing,216/DKI/03,DKI Jakarta,2003,0
Bunyan Andalan Sejati,217/DKI/03,DKI Jakarta,2003,0
Hambali Swadaya Putra,218/DKI/03,DKI Jakarta,2003,0
Lontar,219/DKI/03,DKI Jakarta,2003,0
Percetakan Negara RI,220/DKI/03,DKI Jakarta,2003,0
Sagung Seto,221/DKI/03,DKI Jakarta,2003,0
Metafor Intermedia Indonesia,222/DKI/03,DKI Jakarta,2003,0
Bina Sumber Daya Mipa,223/DKI/03,DKI Jakarta,2003,0
Ina Publikatama,224/DKI/03,DKI Jakarta,2003,0
Ricardo Publishing & Printing,225/DKI/03,DKI Jakarta,2003,0
Globalmedia Cipta Publishing,226/DKI/08,DKI Jakarta,2008,0
Triasco,227/DKI/04,DKI Jakarta,2004,0
Indeks,228/DKI/04,DKI Jakarta,2004,0
Mizan Publika,229/DKI/04,DKI Jakarta,2004,0
Messianic Indonesia,230/DKI/04,DKI Jakarta,2004,0
Diva Pustaka,231/DKI/04,DKI Jakarta,2004,0
Dassco,232/DKI/04,DKI Jakarta,2004,0
Ekuator Publika,233/DKI/04,DKI Jakarta,2004,0
Pusat Profil Muslim Indonesia,234/DKI/04,DKI Jakarta,2004,0
