organization_name, scope, headquarter
LAZ Rumah Zakat Indonesia ,Nasional, Kota Bandung
LAZ Daarut Tauhid ,Nasional, Kota Bandung
LAZ Baitul Maal Hidayatullah ,Nasional, Kota Jakarta
LAZ Dompet Dhuafa Republika ,Nasional, Kota Tangerang Selatan
LAZ Nurul Hayat ,Nasional, Kota Surabaya
LAZ Inisiatif Zakat Indonesia ,Nasional, Kota Jakarta
LAZ Yatim Mandiri ,Nasional, Kota Surabaya
LAZ Lembaga Manajemen Infak Ukhuwah Islamiyah ,Nasional, Kota Surabaya
LAZ Dana Sosial Al Falah Surabaya ,Nasional, Kota Surabaya
LAZ Pesantren Islam Al-Azhar ,Nasional, Kota Jakarta Selatan
LAZ Baitulmaal Muamalat ,Nasional, Kota Jakarta
LAZ Lembaga Amil Zakat Infak dan Shadaqah Nahdatul Ulama ,Nasional, Kota Jakarta
LAZ Global Zakat ,Nasional, Kota Jakarta Selatan
LAZ Muhammadiyah ,Nasional, Kota Jakarta Pusat
LAZ Dewan Da'wah Islamiyah Indonesia ,Nasional, Kota Jakarta Pusat
LAZ Perkumpulan Persatuan Islam ,Nasional, Kota Bandung
LAZ Rumah Yatim Ar-Rohman Indonesia ,Nasional, Kota Bandung
LAZ Yayasan Kesejahteraan Madani ,Nasional, Kota Jakarta Selatan
LAZ Yayasan Griya Yatim & Dhuafa ,Nasional, Kota Tangerang Selatan
LAZ Yayasan Daarul Qur'an Nusantara (PPPA) ,Nasional, Kota Tangerang Selatan
Yayasan Baitul Ummah Banten ,Nasional, Kabupaten Pandeglang
Yayasan Pusat Peradaban Islam (AQL) ,Nasional, Kota Jakarta Selatan
LAZ Yayasan Mizan Amanah ,Nasional, Kota Jakarta Selatan
LAZ Panti Yatim Indonesia Al Fajr ,Nasional, Kota Bandung
LAZ Wahdah Islamiyah ,Nasional, Kota Makassar
LAZ Yayasan Hadji Kalla ,Nasional, Kota Makassar
LAZ Baitul Maal FKAM ,Provinsi, Kota Surakarta
LAZ Semai Sinergi Umat ,Provinsi, Kota Bandung
LAZ Dompet Amal Sejahtera Ibnu Abbas (DASI) NTB ,Provinsi, Mataram
LAZ Dompet Sosial Madani (DSM) Bali ,Provinsi, Kota Denpasar
LAZ Harapan Dhuafa Banten ,Provinsi, Kota Serang
LAZ Solo Peduli Ummat ,Provinsi, Kota Surakarta
LAZ Dana Peduli Umat Kalimantan Timur ,Provinsi, Kota Samarinda
