"Nama","Alamat","Telepon","Kategori_ID","Kategori_EN","Nomor_Keputusan","Tanggal_Keputusan","Nama_Produk","Tempat_Perizinan","Tanggal_Operasional","Keterangan_ID","Keterangan_EN","Lampiran","Status","Tipe","Barcode","Email","Website"
"PT MJC Money Changer","Ruko Beach View Boulevard Blok C No. 32 Pantai Indah Kapuk, Jakarta Utara","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/36/KEP.GBI/Jkt/2022","05/09/2022","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1419.45-000/Jkt","",""
"PT Lancar Sentosa Valasindo","Mall Mangga Dua Square Lt. UG Blok C No. 187, Jalan Gunung Sahari Raya No.1 RT011/006, Kel. Ancol. Kec. Pademangan, Jakarta Utara","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/9/KEP.GBI/Jkt/2022","04/15/2022","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1417.43.000/Jkt","",""
"Lembaga Pelatihan Kerja Solusi Mega","Gedung Smartdeal, Jl. Cideng Timur 16 A, Jakarta Pusat","021-6305210","Lembaga Pelatihan Kerja","Job Training Institute","24/51/DPSP-GESK/Srt/B","03/28/2022","","Jakarta","","Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"Lembaga Pelatihan Kerja Danamon Corporate University","Danamon Corporate University. Jl. Raya Puncak No.8, Gadog, Ciawi, Bogor","0251-8241475","Lembaga Pelatihan Kerja","Job Training Institute","24/46/DPSP-GESK/Srt/B","03/22/2022","","Bogor","","No.23/4/DPSP/Srt/B Tgl 8 Januari 2021 untuk Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 4 dan No.24/46/DPSP-GESK/Srt/B Tgl 22 Maret 2022 untuk Kategori PBK SPPUR Jenjang Kualifikasi SPPUR 5.","Job Training Institute","","Berizin (Telah Operasional)","","","",""
"PT Daffa Indo Valuta","Jalan Kwitang Raya No. 8, Kel. Kwitang, Kec. Senen, Jakarta Pusat","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/189/Jkt/Srt/B","03/17/2022","","KPwBI Provinsi DKI Jakarta","03/24/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","","",""
"PT Gemar Arta Valutama","AEON Mall Sentul City, Lantai B1, Unit B1-22, Jl. MH Thamrin Sentul City, Babakan Madang - Kabupaten Bogor","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","24/190/Jkt/Srt/B","03/17/2022","","KPwBI Provinsi DKI Jakarta","03/30/2022","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","1414.40-000/Jkt","",""
"PT Top Dolar Remitan","Ruko Tiban Vivo Square H No. 3, Kelurahan Patam Lestari, Kecamatan Sekupang, Kota Batam, Prov. Kepulauan Riau","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","24/5/KEP.GBI/Btm/2002","03/10/2022","","KPwBI Provinsi Kepulauan Riau","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
"PT Pakai Donk Nusantara","","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/53/DKSP/Srt/B","02/25/2022","Pakaidonk","Departemen Kebijakan Sistem Pembayaran","","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Belum Beroperasinal)","","","",""
"PT BPR Surya Yudhakencana","","","Penyedia Jasa Pembayaran - Kategori Izin 1","Payment Service Provider - License Category I","24/52/DKSP/Srt/B","02/25/2022","","Departemen Kebijakan Sistem Pembayaran","","Penatausahaan Sumber Dana","Account Issuance Services","","Berizin (Belum Beroperasinal)","","","",""
"PT Kreigan Digital Wesel","Green Lake City, Ruko Food City RKFC-005, Cipondoh, Kota Tangerang, Banten, 15147","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","24/324/Sr/B/6-001","02/24/2022","","KPwBI Provinsi Banten","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","","",""
