Nama Penyelenggara	Alamat	Telepon	Kategori ID	Kategori EN	Nomor Surat	Tanggal Surat	Status	Keterangan ID	Keterangan EN
PT Bank Negara Indonesia (Persero) Tbk	Jakarta		Systematic Internaliser	Systematic Internaliser	24/8/DPPK/Srt/B	11/01/2022	1		
PT Mandiri Sekuritas	Jakarta		Lembaga Pendukung Transaksi Surat Berharga Komersial	Supporting Institutions for Commercial Securities Transactions	23/222/DPPK/Srt/B	10/26/2021	1		
PT Bank Pembangunan Daerah Bali	Bali		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	23/1/KEP.KADEP.DPPK/2021	10/26/2021	1		
PT Mandiri Sekuritas	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	23/129/DPPK/Srt/B	06/18/2021	1	Penata Laksana	Arranger
Emmyra Fauzia Kariana			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	23/25/DPPK/Srt/B	02/16/2021	1	Notaris	Notary Public
Ridwan Nawing	"Kantor Notaris Ridwan Nawing, SH
Jl. Mochtar Lutfi No.6 Makassar 90112"		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/155/DPPK/Srt/B	12/21/2020	1	Notaris	Notary Public
Yurisa Martanti			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/127/DPPK/Srt/B	12/01/2020	1	Notaris	Notary Public
Egi Anggiawati Padli			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/128/DPPK/Srt/B	12/01/2020	1	Notaris	Notary Public
Nieke Yunianti			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/118/DPPK/Srt/B	11/10/2020	1	Akuntan Publik	Public Accountant
Agung Purwanto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/95/DPPK/Srt.B	09/15/2020	1	Akuntan Publik	Public Accountant
PT Shinhan Sekuritas Indonesia	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/89/DPPK/Srt/B	08/31/2020	1	Penata Laksana	Arranger
Said Amru			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/70/DPPK/Srt.B	07/16/2020	1	Akuntan Publik	Public Accountant
PT BRI	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	22/1/KEP.KADEP.DPPK/2020	05/11/2020	1		
Bank DBS Indonesia	Jakarta		Systematic Internaliser	Systematic Internaliser	22/8/DGS-DPPK/Srt/B	05/04/2020	1		
HSBC Bank	Jakarta		Systematic Internaliser	Systematic Internaliser	22/9/DGS-DPPK/Srt/B	05/04/2020	1		
Deutsche Bank	Jakarta		Systematic Internaliser	Systematic Internaliser	22/10/DGS-DPPK/Srt/B	05/04/2020	1		
Citibank	Jakarta		Systematic Internaliser	Systematic Internaliser	22/11/DGS-DPPK/Srt/B	05/04/2020	1		
Bank Mandiri	Jakarta		Systematic Internaliser	Systematic Internaliser	22/3/DGS-DPPK/Srt/B	04/27/2020	1		
Standard Chartered Bank	Jakarta		Systematic Internaliser	Systematic Internaliser	22/4/DGS-DPPK/Srt/B	04/27/2020	1		
Bank Central Asia	Jakarta		Systematic Internaliser	Systematic Internaliser	22/5/DGS-DPPK/Srt/B	04/27/2020	1		
Bank Rakyat Indonesia	Jakarta		Systematic Internaliser	Systematic Internaliser	22/6/DGS-DPPK/Srt/B	04/27/2020	1		
MUFG Bank	Jakarta		Systematic Internaliser	Systematic Internaliser	22/7/DGS-DPPK/Srt/B	04/27/2020	1		
PT CIMB Niaga Sekuritas	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	22/17/DPPK/Srt/B	01/30/2020	1	Penata Laksana	Arranger
Jimmy Pangestu			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/339/DPPK/Srt.B	12/30/2019	1	Akuntan Publik	Public Accountant
Tjhin Silawati			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/333/DPPK/Srt.B	12/23/2019	1	Akuntan Publik	Public Accountant
