platform_name,website,company_name,official_register,date_of_registration,lending_type,platform_type,last_updated
Danamas,https://p2p.danamas.co.id,PT Pasar Dana Pinjaman,KEP-49/D.05/2017,06 Juli 2017,Konvensional,Android,2021-06-10
investree,https://www.investree.id,PT Investree Radhika Jaya,KEP-45/D.05/2019,13 Mei 2019,Konvensional dan Syariah,Android dan iOS,2021-06-10
amartha,https://amartha.com,PT Amartha Mikro Fintek,KEP-46/D.05/2019,13 Mei 2019,Konvensional,Android,2021-06-10
DOMPET Kilat,https://www.dompetkilat.co.id,PT Indo Fin Tek,KEP-47/D.05/2019,13 Mei 2019,Konvensional,Android,2021-06-10
KIMO,http://kimo.co.id,PT Creative Mobile Adventure,KEP-48/D.05/2019,13 Mei 2019,Konvensional,Android,2021-06-10
TOKO MODAL,https://www.tokomodal.co.id,PT Toko Modal Mitra Usaha,KEP-49/D.05/2019,24 Mei 2019,Konvensional,Android,2021-06-10
UANGTEMAN,https://uangteman.com,PT Digital Alpha Indonesia,KEP-50/D.05/2019,24 Mei 2019,Konvensional,Android,2021-06-10
modalku,https://modalku.co.id,PT Mitrausaha Indonesia Grup,KEP-81/D.05/2019,30 September 2019,Konvensional,Android,2021-06-10
KTA KILAT,http://www.pendanaan.com,PT Pendanaan Teknologi Nusa,KEP-82/D.05/2019,30 September 2019,Konvensional,Android,2021-06-10
Kredit Pintar,http://kreditpintar.co.id,PT Kredit Pintar Indonesia,KEP-83/D.05/2019,30 September 2019,Konvensional,Android,2021-06-10
Maucash,http://maucash.id,PT Astra Welab Digital Arta,KEP-84/D.05/2019,30 September 2019,Konvensional,Android,2021-06-10
Finmas,https://www.finmas.co.id,PT Oriente Mas Sejahtera,KEP-85/D.05/2019,30 September 2019,Konvensional,Android,2021-06-10
KlikACC,https://klikacc.co.id,PT Aman Cermat Cepat,KEP-87/D.05/2019,30 September 2019,Konvensional,Android,2021-06-10
Akseleran,https://www.akseleran.co.id,PT Akseleran Keuangan Inklusif Indonesia,KEP-122/D.05/2019,13 Desember 2019,Konvensional,Android dan iOS,2021-06-10
Ammana.id,https://ammana.id,PT Ammana Fintek Syariah,KEP-123/D.05/2019,13 Desember 2019,Syariah,Android dan iOS,2021-06-10
PinjamanGO,https://www.pinjamango.co.id,PT Dana Pinjaman Inklusif,KEP-124/D.05/2019,13 Desember 2019,Konvensional,Android dan iOS,2021-06-10
KoinP2P,https://koinp2p.com,PT Lunaria Annua Teknologi,KEP-125/D.05/2019,13 Desember 2019,Konvensional,Web,2021-06-10
pohondana,http://pohondana.id,PT Pohon Dana Indonesia,KEP-126/D.05/2019,13 Desember 2019,Konvensional,Web,2021-06-10
MEKAR,https://mekar.id,PT Mekar Investama Sampoerna,KEP-127/D.05/2019,13 Desember 2019,Konvensional,Web,2021-06-10
AdaKami,www.adakami.id,PT Pembiayaan Digital Indonesia,KEP-128/D.05/2019,13 Desember 2019,Konvensional,Android dan iOS,2021-06-10
ESTA KAPITAL FINTEK,https://www.estakapital.co.id,PT Esta Kapital Fintek,KEP-129/D.05/2019,13 Desember 2019,Konvensional,Web,2021-06-10
KREDITPRO,http://kreditpro.id,PT Tri Digi Fin,KEP-130/D.05/2019,13 Desember 2019,Konvensional,Web,2021-06-10
FINTAG,http://fintag.id,PT Fintegra Homido Indonesia,KEP-131/D.05/2019,13 Desember 2019,Konvensional,Web,2021-06-10
RUPIAH CEPAT,www.rupiahcepat.co.id,PT Kredit Utama Fintech Indonesia,KEP-132/D.05/2019,13 Desember 2019,Konvensional,Android,2021-06-10
CROWDO,https://crowdo.co.id,PT Mediator Komunitas Indonesia,KEP-133/D.05/2019,13 Desember 2019,Konvensional,Android,2021-06-10
Indodana,indodana.id,PT Artha Dana Teknologi,KEP- 15/D.05/2020,19 Mei 2020,Konvensional,Android dan iOS,2021-06-10
JULO,www.julo.co.id,PT Julo Teknologi Finansial,KEP- 16/D.05/2020,19 Mei 2020,Konvensional,Android,2021-06-10
Pinjamwinwin,pinjamwinwin.com,PT Progo Puncak Group,KEP- 17/D.05/2020,19 Mei 2020,Konvensional,Android,2021-06-10
DanaRupiah,danarupiah.id,PT Layanan Keuangan Berbagi,KEP- 18/D.05/2020,19 Mei 2020,Konvensional,Android dan iOS,2021-06-10
Taralite,www.taralite.com,PT Indonusa Bara Sejahtera,KEP- 19/D.05/2020,19 Mei 2020,Konvensional,Web,2021-06-10
Pinjam Modal,pinjammodal.id,PT Finansial Integrasi Teknologi,KEP- 20/D.05/2020,19 Mei 2020,Konvensional,Android dan iOS,2021-06-10
ALAMI,p2p.alamisharia.co.id,PT Alami Fintek Sharia,KEP- 21/D.05/2020,27 Mei 2020,Syariah,Android dan iOS,2021-06-10
AwanTunai,www.awantunai.co.id,PT Simplefi Teknologi Indonesia,KEP- 22/D.05/2020,27 Mei 2020,Konvensional,Android,2021-06-10
Danakini,https://danakini.co.id,PT Dana Kini Indonesia,KEP-46/D.05/2020,16 Oktober 2020,Konvensional,Web,2021-06-10
Singa,http://singa.id,PT Abadi Sejahtera Finansindo,KEP-47/D.05/2020,16 Oktober 2020,Konvensional,Web,2021-06-10
DANAMERDEKA,http://danamerdeka.co.id,PT Intekno Raya,KEP-48/D.05/2020,16 Oktober 2020,Konvensional,Android,2021-06-10
EASYCASH,http://indo.geteasycash.asia,PT Indonesia Fintopia Technology,KEP-49/D.05/2020,16 Oktober 2020,Konvensional,Android,2021-06-10
PINJAM YUK,http://www.pinjamyuk.co.id,PT Kuaikuai Tech Indonesia,KEP-2/D.05/2021,6 Januari 2021,Konvensional,Android,2021-06-10
FinPlus,www.finplus.co.id,PT Rezeki Bersama Teknologi,KEP-3/D.05/2021,6 Januari 2021,Konvensional,Web,2021-06-10
UangMe,http://uangme.id,PT Uangme Fintek Indonesia,KEP-4/D.05/2021,6 Januari 2021,Konvensional,Android dan iOS,2021-06-10
PinjamDuit,http://pinjamduit.co.id,PT Stanford Teknologi Indonesia,KEP-5/D.05/2021,6 Januari 2021,Konvensional,Android,2021-06-10
DANA Syariah,http://danasyariah.id,PT Dana Syariah Indonesia,KEP-10/D.05/2021,23 Februari 2021,Syariah,Android,2021-06-10
BATUMBU,www.batumbu.id,PT Berdayakan Usaha Indonesia,KEP-11/D.05/2021,23 Februari 2021,Konvensional,Web,2021-06-10
Cashcepat,http://cashcepat.id,PT Artha Permata Makmur,KEP-12/D.05/2021,23 Februari 2021,Konvensional,Android,2021-06-10
klikUMKM,www.klikUMKM.co.id,PT Pinjaman Kemakmuran Rakyat,KEP-13/D.05/2021,23 Februari 2021,Konvensional,Web,2021-06-10
Pinjam Gampang,http://www.kreditplusteknologi.id,PT Kredit Plus Teknologi,KEP-16/D.05/2021,16 Maret 2021,Konvensional,Android,2021-06-10
cicil,https://www.cicil.co.id,PT Cicil Solusi Mitra Teknologi,KEP-20/D.05/2021,14 April 2021,Konvensional,Android,2021-06-10
lumbungdana,http://lumbungdana.co.id,PT Lumbung Dana Indonesia,KEP-21/D.05/2021,14 April 2021,Konvensional,Web,2021-06-10
KREDI,www.360kredi.id,PT Inovasi Terdepan Nusantara,KEP-22/D.05/2021,14 April 2021,Konvensional,Android,2021-06-10
Dhanapala,www.dhanapala.id,PT Semangat Gotong Royong,KEP-23/D.05/2021,14 April 2021,Konvensional,Android,2021-06-10
Kredinesia,www.kredinesia.id,PT Kreditku Teknologi Indonesia,KEP-25/D.05/2021,21 April 2021,Konvensional,Android,2021-06-10
Pintek,http://pintek.id,PT Pinduit Teknologi Indonesia,KEP-26/D.05/2021,21 April 2021,Konvensional,Web,2021-06-10
ModalRakyat,http://modalrakyat.id,PT Modal Rakyat Indonesia,KEP-27/D.05/2021,21 April 2021,Konvensional,Web,2021-06-10
SOLUSIKU,www.solusi-ku.id,PT Anugerah Digital Indonesia,KEP-28/D.05/2021,21 April 2021,Konvensional,Android,2021-06-10
Cairin,www.cairin.id,PT Idana Solusi Sejahtera,KEP-29/D.05/2021,21 April 2021,Konvensional,Android,2021-06-10
TrustIQ,http://trustiq.id,PT Trust Teknologi Finansial,KEP-30/D.05/2021,21 April 2021,Konvensional,Web,2021-06-10
KLIK KAMI,www.klikkami.co.id,PT Harapan Fintech Indonesia,KEP-31/D.05/2021,21 April 2021,Konvensional,Android,2021-06-10
Duha SYARIAH,www.duhasyariah.com,PT Duha Madani Syariah,KEP-32/D.05/2021,21 April 2021,Syariah,Android,2021-06-10
Invoila,http://invoila.co.id,PT Sol Mitra Fintec,KEP-39/D.05/2021,11 Mei 2021,Konvensional,Android,2021-06-10
Sanders One Stop Solution,http://sanders.co.id,PT Satustop Finansial Solusi,KEP-40/D.05/2021,11 Mei 2021,Konvensional,Web,2021-06-10
DanaBagus,www.danabagus.id,PT Dana Bagus Indonesia,KEP-41/D.05/2021,11 Mei 2021,Konvensional,Android,2021-06-10
KREDITO,https://kredito.id,PT Fintek Digital Indonesia,KEP-47/D.05/2021,2 Juni 2021,Konvensional,Android,2021-06-10
Modal Nasional,www.modalnasional.co.id,PT Solusi Teknologi Finansial,KEP-50/D.05/2021,2 Juni 2021,Konvensional,Android,2021-06-10
Komunal,www.komunal.co.id,PT Komunal Finansial Indonesia,KEP-51/D.05/2021,2 Juni 2021,Konvensional,Android dan iOS,2021-06-10
Restock.ID,www.restock.id,PT Cerita Teknologi Indonesia,KEP-52/D.05/2021,2 Juni 2021,Konvensional,Web,2021-06-10
TunaiKita,https://www.tunaikita.com,PT Digital Tunai Kita,S-3973/NB.111/2017,24 Agustus 2017,Konvensional,Android,2021-06-10
iGrow,https://igrow.asia,PT iGrow Resources Indonesia,S-4438/NB.111/2017,18 September 2017,Konvensional,Android,2021-06-10
Cashwagon,https://cashwagon.id,PT Kas Wagon Indonesia,S-5475/NB.111/2017,08 November 2017,Konvensional,Android,2021-06-10
GRADANA,https://gradana.co.id,PT Gradana Teknoruci Indonesia,S-6297/NB.111/2017,27 Desember 2017,Konvensional,Web,2021-06-10
Findaya,http://findaya.co.id,PT Mapan Global Reksa,S-7/NB.11/2018,08 Januari 2018,Konvensional,Web,2021-06-10
AKTIVAKU,http://www.aktivaku.id,PT Aktivaku Investama Teknologi,S-8/NB.11/2018,08 Januari 2018,Konvensional,Web,2021-06-10
KrediFazz,https://kredifazz.id,PT FinAccel Digital Indonesia,S-236/NB.213/2018,20 Maret 2018,Konvensional,Android,2021-06-10
iTernak,https://iternak.id/,PT Perlu Fintech Indonesia,S-257/NB.213/2018,06 April 2018,Konvensional,Web,2021-06-10
CROWDE,https://crowde.co,PT Crowde Membangun Bangsa,S-270/NB.213/2018,12 April 2018,Konvensional,Android,2021-06-10
TaniFund,https://tanifund.id,PT Tani Fund Madani Indonesia,S-278/NB.213/2018,20 April 2018,Konvensional,Web,2021-06-10
danaIN,https://www.danain.co.id,PT Mulia Inovasi Digital,S-280/NB.213/2018,20 April 2018,Konvensional,Web,2021-06-10
Indofund.id,https://indofund.id,PT Bursa Akselerasi Indonesia,S-282/NB.213/2018,23 April 2018,Konvensional,Web,2021-06-10
AVANTEE,http://www.avantee.co.id,PT Grha Dana Bersama,S-320/NB.213/2018,23 Mei 2018,Konvensional,Web,2021-06-10
danabijak,http://danabijak.co.id,PT Digital Micro Indonesia,S-381/NB.213/2018,08 Juni 2018,Konvensional,Android,2021-06-10
KawanCicil,http://kawancicil.co.id,PT Kawan Cicil Teknologi Utama,S-387/NB.213/2018,08 Juni 2018,Konvensional,Web,2021-06-10
KREDITCEPAT,http://kreditcepat.co.id,PT Alfa Fintech Indonesia,S-389/NB.213/2018,08 Juni 2018,Konvensional,Android,2021-06-10
Danacita,http://danacita.co.id,PT Inclusive Finance Group,S-688/NB.213/2018,21 September 2018,Konvensional,Web,2021-06-10
Danai.id,http://danai.id,PT Adiwisista Finansial Teknologi,S-960/NB.213/2018,16 Oktober 2018,Konvensional,Web,2021-06-10
DANAMART,http://danamart.id,PT Dana Aguna Nusantara,S-1059/NB.213/2018,28 November 2018,Konvensional,Web,2021-06-10
samakita,http://samakita.co.id,PT Sejahtera Sama Kita,S-1060/NB.213/2018,28 November 2018,Konvensional,Web,2021-06-10
vestia,http://web.vestia.co.id,PT Tujuh Mandiri Sejahtera,S-1074/NB.213/2018,07 Desember 2018,Konvensional,Android,2021-06-10
Asetku,http://asetku.co.id,PT Pintar Inovasi Digital,S-1110/NB.213/2018,21 Desember 2018,Konvensional,Android,2021-06-10
danafix,http://danafix.id,PT Danafix Online Indonesia,S-1111/NB.213/2018,21 Desember 2018,Konvensional,Android,2021-06-10
LAHANSIKAM,https://lahansikam.co.id,PT Lampung Berkah Finansial Teknologi,S-1113/NB.213/2018,21 Desember 2018,Konvensional,Web,2021-06-10
ShopeePayLater,www.lenteradana.co.id,PT Lentera Dana Nusantara,S-1116/NB.213/2018,21 Desember 2018,Konvensional,Web,2021-06-10
UKU,www.ukuindo.com,PT Teknologi Merlin Sejahtera,S-58/NB.213/2019,1 Februari 2019,Konvensional,Android,2021-06-10
gandengtangan,www.gandengtangan.co.id,PT Kreasi Anak Indonesia,S-63/NB.213/2019,1 Februari 2019,Konvensional,Android,2021-06-10
JEMBATANEMAS,www.jembatanemas.id,PT Akur Dana Abadi,S-219/NB.213/2019,8 April 2019,Konvensional,Web,2021-06-10
asakita,www.asakita.id,PT Digitron Solusi Indonesia,S-291/NB.213/2019,30 April 2019,Konvensional,Web,2021-06-10
qazwa,www.qazwa.id,PT Qazwa Mitra Hasanah,S-440/NB.213/2019,7 Agustus 2019,Syariah,Web,2021-06-10
One Hope,www.onehope.co.id,PT Teknologi Indonesia Sentosa,S-442/NB.213/2019,7 Agustus 2019,Konvensional,Web,2021-06-10
Adapundi,www.adapundi.com,PT Info Tekno Siaga,S-448/NB.213/2019,7 Agustus 2019,Konvensional,Android,2021-06-10
Tree+,www.treeplus.id,PT Satrio Jaya Persada,S-449/NB.213/2019,7 Agustus 2019,Konvensional,Android,2021-06-10
edufund,www.edufund.co.id,PT Fintech Bina Bangsa,S-451/NB.213/2019,7 Agustus 2019,Konvensional,Web,2021-06-10
FinanKu,http://finanku.com,PT Smart Karya Digital,S-452/NB.213/2019,7 Agustus 2019,Konvensional,Web,2021-06-10
UATAS,www.uatas.id,PT Plus Ultra Abadi,S-454/NB.213/2019,7 Agustus 2019,Konvensional,Android,2021-06-10
dumi,http://minjem.com,PT Fidac Inovasi Teknologi,S-602/NB.213/2019,30 Oktober 2019,Konvensional,Web,2021-06-10
Pundiku,http://pundiku.net,PT Pundiku Mitra Sejahtera,S-603/NB.213/2019,30 Oktober 2019,Konvensional,Web,2021-06-10
TEMAN PRIMA,https://www.temanprima.co.id,PT Prima Fintech Indonesia,S-615/NB.213/2019,30 Oktober 2019,Konvensional,Android,2021-06-10
OK!P2P,www.okp2p.co.id,PT Oke Ptop Indonesia,S-601/NB.213/2019,30 Oktober 2019,Konvensional,Android,2021-06-10
DoeKu,https://doeku.id,PT Doeku Peduli Indonesia,S-599/NB.213/2019,30 Oktober 2019,Konvensional,Android,2021-06-10
BANTUSAKU,www.smartec.co.id,PT Smartec Teknologi Indonesia,S-610/NB.213/2019,30 Oktober 2019,Konvensional,Android,2021-06-10
KlikCair,klikcair.com,PT Klikcair Magga Jaya,S-607/NB.213/2019,30 Oktober 2019,Konvensional,Web,2021-06-10
AdaModal,http://adamodal.co.id,PT Solid Fintek Indonesia,S-606/NB.213/2019,30 Oktober 2019,Konvensional,Web,2021-06-10
kontanku,www.kontanku.id,PT PAM Finansial Teknologi,S-613/NB.213/2019,30 Oktober 2019,Konvensional,Web,2021-06-10
ikimodal,www.ikimodal.com,PT IKI Karunia Indonesia,S-611/NB.213/2019,30 Oktober 2019,Konvensional,Web,2021-06-10
ETHIS,https://ethis.co.id,PT Ethis Fintek Indonesia,S-608/NB.213/2019,30 Oktober 2019,Syariah,Web,2021-06-10
KAPITALBOOST,https://kapitalboost.co.id,PT Kapital Boost Indonesia,S-609/NB.213/2019,30 Oktober 2019,Syariah,Web,2021-06-10
PAPITUPI Syariah,www.papitupisyariah.com,PT Piranti Alphabet Perkasa,S-612/NB.213/2019,30 Oktober 2019,Syariah,Android,2021-06-10
Finteck Syariah,www.finteksyariah.co.id,PT Berkah Finteck Syariah,S-600/NB.213/2019,30 Oktober 2019,Syariah,Web,2021-06-10
Samir,www.samir.co.id,PT Sahabat Mikro Fintek,S-716/NB.213/2019,20 Desember 2019,Konvensional,Web,2021-06-10
Optima,www.optimaapp.co.id,PT Evian Teknologi Indonesia,S-719/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
BBX FINTECH,www.bbxfintech.co.id,PT BBX Digital Teknologi,S-722/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
Ringan,www.ringan.co.id,PT Ringan Teknologi Indonesia,S-729/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
Saku Ceria,https://sakuceria.id,PT Solusi Bijak Indonesia,S-730/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
indosaku,https://indosaku.id,PT Sens Teknologi Indonesia,S-731/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
SolusiKita,www.jayindo.id,PT Jayindo Fintek Pratama,S-732/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
IVOJI,www.ivoji.id,PT Finansia Aira Teknologi,S-733/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
pinjamindo,https//www.pinjamindo.co.id,PT Serba Digital Teknologi,S-734/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
KOTAK KOIN,www.kotakkoin.id,PT Coco Digital Technology,S-735/NB.213/2019,20 Desember 2019,Konvensional,Android,2021-06-10
