providerName,siteURL,imageURL,domain,estFoundingYear
Academy Lamudi,https://www.lamudi.co.id/academy/#prakerja,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/1yCbNaglamudi.png?v=3,lamudi.co.id,
Accelerice,http://www.accelerice.com/kartuprakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Accelerice.png?v=3,accelerice.com,2019-01-21
AJARSkills.com,https://www.ajarskills.com/pra-kerja.html,https://static-asset-cdn.prakerja.go.id/companies-logo/ajarskills.png?v=3,ajarskills.com,2020-02-21
Aleenahoz Beauty,https://aleenahozbeauty.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/Aleenahoz_Beauty.png?v=3,aleenahozbeauty.id,
Alfabank,https://alfabankjogja.com/,https://static-asset-cdn.prakerja.go.id/companies-logo/Alfabank.png?v=3,alfabankjogja.com,2008-04-03
Altissia,https://ptindo.online/prakerja.html,https://static-asset-cdn.prakerja.go.id/companies-logo/altissia.png?v=3,ptindo.online,2018-08-05
AMANI RUMAH BELAJAR,http://www.kursusjahitbatam.com/kartuprakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/AMANI_RUMAH_BELAJAR.png?v=3,kursusjahitbatam.com,
AMIK JTC Semarang,https://amikjtc.com/kerjasamasekolahmu.php,https://static-asset-cdn.prakerja.go.id/companies-logo/amikjtc.png?v=3,amikjtc.com,2009-05-27
Andaf Talent (Digital Marketer),https://courses.andaf.co.id/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Andaf_Talent_Digitalmarketer.png?v=3,courses.andaf.co.id,
Arkademi,https://arkademi.com/semua-kelas-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Arkademi.png?v=3,arkademi.com,2017-09-01
Arsikei Consulting,https://arsikeiconsultingasia.com/?page_id=410,https://static-asset-cdn.prakerja.go.id/companies-logo/Arsikei_Consulting.png?v=3,arsikeiconsultingasia.com,
Baba Studio,https://academy.babastudio.com/prakerja,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/5Viqlmgbabastudio.png?v=3,academy.babastudio.com,
Badr Interactive/Founder+,https://founderplus.id/tentang-kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Badr_Interactive_Founder.png?v=3,founderplus.id,
