name,description.__cdata,Point.coordinates
Asrama Haji Yogyakarta,"Alamat: Mlati, Sleman<br>Daya tampung: 114<br>Narahubung/pengelola: 081327563399 (Makwan)","110.3744131,-7.7522387,0"
Rusunawa Gemawang,"Alamat: Mlati, Sleman<br>Daya tampung: 30<br>Narahubung/pengelola: 08161916438 (dr Okto)","110.36698,-7.7544503,0"
Shelter UII,"Alamat: Ngemplak, Sleman<br>Daya tampung: 69<br>Narahubung/pengelola: 081327563399 (Makwan)","110.4130892,-7.6904711,0"
RS Medika Respati,"Tajem, Maguwoharjo, Depok<br>Daya tampung: 100-200<br>Narahubung: ","110.4341928,-7.7483436,0"
Shelter Unisa,Daya Tampung:<br>Narahubung:,"110.3332366,-7.7647385,0"
Shelter Balecatur,Balecatur <br>Santo Aman (Jagabaya)<br>081 904 100 172<br>Kapasitas 2 Kamar ,"110.3031924,-7.8040696,0"
Shelter Ambarketawang,Ambarketawang <br>Arief Hermyanto <br>089 966 348 47<br>Kapasitas 7 Kamar,"110.3203551,-7.7997816,0"
Shelter Banyuraden,Banyuraden <br>Carik<br>085 643 200 757<br>Balai Desa,"110.3343561,-7.7879585,0"
Shelter Banyuraden,Banyuraden <br>Carik<br>085 643 200 757<br>Balai Desa,"110.3343561,-7.7879585,0"
Shelter Nogotirto,Nogotirto <br>PJ Destiawan Dwi nugroho<br>083 867 062 258<br>Kapasitas 4 Kamar ,"110.3344203,-7.7745987,0"
Shelter Trihanggo,Trihanggo <br>Rifhan Wahyuti<br>081 327 662 660<br>Kapasitas 2 Kamar ,"110.344612,-7.7612152,0"
Shelter Sidorejo,Sidorejo <br>Wahyunarti<br>085 799 950 549<br>Kapasitas 2 Kamar ,"110.2672206,-7.761127,0"
Shelter Sidomoyo,Sidomoyo<br>Tyas (Jogoboyo)<br>089 895 753 54<br>1 shelter,"110.3207219,-7.7641717,0"
Shelter Sidokarto,Sidokarto <br>Herdian Al Husan<br>085 740 573 801<br>Balai Desa,"110.3044811,-7.7768332,0"
Shelter Sidoluhur,Sidoluhur<br>Wahyu (Kamituo)<br>082 132 897 508<br>Kapasitas 12 Kamar ,"110.288256,-7.766508,0"
Shelter Sidomulyo,Sidomulyo <br>Jogoboyo <br>089 762 145 38<br>Kapasitas 2 Kamar ,"110.2908831,-7.7788556,0"
