province,city,capital,sni_code
Daerah Istimewa Aceh,Kabupaten Bener Meriah,Simpang Tiga Redelong,STR
Daerah Istimewa Aceh,Kabupaten Pidie Jaya,Meureundu,MRN
Daerah Istimewa Aceh,Kota Banda Aceh,Banda Aceh,BNA
Daerah Istimewa Aceh,Kota Sabang,Sabang,SAB
Daerah Istimewa Aceh,Kota Lhokseumawe,Lhokseumawe,LSM
Daerah Istimewa Aceh,Kota Langsa,Langsa,LGS
Daerah Istimewa Aceh,Kota Subulussalam,Subulussalam,SUS
Sumatera Utara,Kabupaten Tapanuli Tengah,Sibolga,SBG
Sumatera Utara,Kabupaten Tapanuli Utara,Tarutung,TRT
Sumatera Utara,Kabupaten Tapanuli Selatan,Padang Sidempuan,PSP
Sumatera Utara,Kabupaten Nias,Gunungsitoli,GST
Sumatera Utara,Kabupaten Langkat,Stabat,STB
Sumatera Utara,Kabupaten Karo,Kabanjahe,KBJ
Sumatera Utara,Kabupaten Deli Serdang,Lubuk Pakam,LBP
Sumatera Utara,Kabupaten Simalungun,Pematang Siantar,PMS
Sumatera Utara,Kabupaten Asahan,Kisaran,KIS
Sumatera Utara,Kabupaten Labuhanbatu,Rantau Prapat,RAP
Sumatera Utara,Kabupaten Dairi,Sidikalang,SDK
Sumatera Utara,Kabupaten Toba Samosir,Balige,BLG
Sumatera Utara,Kabupaten Mandailing Natal,Panyabungan,PYB
Sumatera Utara,Kabupaten Nias Selatan,Teluk Dalam,TLD
Sumatera Utara,Kabupaten Pakpak Bharat,Salak,SAL
Sumatera Utara,Kabupaten Humbang Hasundutan,Dolok Sanggul,DLS
Sumatera Utara,Kabupaten Samosir,Pangururan,PRR
Sumatera Utara,Kabupaten Serdang Bedagai,Sei Rampah,SRH
Sumatera Utara,Kabupaten Batu Bara,Lima Puluh,LMP
Sumatera Utara,Kabupaten Padang Lawas Utara,Gunung Tua,GNT
Sumatera Utara,Kabupaten Padang Lawas,Sibuhuan,SBH
Sumatera Utara,Kabupaten Labuhanbatu Selatan,Kota Pinang,KPI
Sumatera Utara,Kabupaten Labuhanbatu Utara,Aek Kanopan,AKK
Sumatera Utara,Kabupaten Nias Utara,Lotu,LTU
Sumatera Utara,Kabupaten Nias Barat,Lahomi,LHM
Sumatera Utara,Kota Medan,Medan,MDN
Sumatera Utara,Kota Pematangsiantar,Pematangsiantar,PMS
Sumatera Utara,Kota Sibolga,Sibolga,SBG
Sumatera Utara,Kota Tanjung Balai,Tanjung Balai,TJB
Sumatera Utara,Kota Binjai,Binjai,BNJ
Sumatera Utara,Kota Tebing Tinggi,Tebing Tinggi,TBT
Sumatera Utara,Kota Padang Sidempuan,Padang Sidempuan,PSP
Sumatera Utara,Kota Gunungsitoli,Gunungsitoli,GST
Sumatera Barat,Kabupaten Pesisir Selatan,Painan,PNN
Sumatera Barat,Kabupaten Solok,Arosuka,ARS
Sumatera Barat,Kabupaten Sijunjung,Muaro Sijunjung,MRJ
Sumatera Barat,Kabupaten Tanah Datar,Batusangkar,BSK
Sumatera Barat,Kabupaten Padang Pariaman,Nagari Parit Malintang,NPM
Sumatera Barat,Kabupaten Agam,Lubuk Basung,LBB
Sumatera Barat,Kabupaten Lima Puluh Kota,Sarilamak,SRK
Sumatera Barat,Kabupaten Pasaman,Lubuk Sikaping,LBS
Sumatera Barat,Kabupaten Kepulauan Mentawai,Tuapejat,TPT
Sumatera Barat,Kabupaten Dharmasraya,Pulau Punjung,PLJ
Sumatera Barat,Kabupaten Solok Selatan,Padang Aro,PDA
Sumatera Barat,Kabupaten Pasaman Barat,Simpang Empat,SPE
Sumatera Barat,Kota Padang,Padang,PAD
Sumatera Barat,Kota Solok,Solok,SLK
Sumatera Barat,Kota Sawahlunto,Sawahlunto,SWL
Sumatera Barat,Kota Padang Panjang,Padang Panjang,PDP
Sumatera Barat,Kota Bukittinggi,Bukittinggi,BKT
Sumatera Barat,Kota Payakumbuh,Payakumbuh,PYH
Sumatera Barat,Kota Pariaman,Pariaman,PMN
Riau,Kabupaten Kampar,Bangkinang,BKN
Riau,Kabupaten Indragiri Hulu,Rengat,RGT
Riau,Kabupaten Bengkalis,Bengkalis,BLS
Riau,Kabupaten Indragiri Hilir,Tembilahan,TBH
Riau,Kabupaten Pelalawan,Pangkalan Kerinci,PKK
Riau,Kabupaten Rokan Hulu,Pasir Pengarairan,PRP
Riau,Kabupaten Rokan Hilir,Ujung Tanjung,UJT
Riau,Kabupaten Siak,Siak Sriindrapura,SAK
Riau,Kabupaten Kuantan Singingi,Teluk Kuantan,TLK
Riau,Kabupaten Kepulauan Meranti,Tebing Tinggi,TTG
Riau,Kota Pekanbaru,Pekanbaru,PBR
Riau,Kota Dumai,Dumai,DUM
Jambi,Kabupaten Kerinci,Sungai Penuh,SPN
Jambi,Kabupaten Merangin,Bangko,BKO
Jambi,Kabupaten Sarolangun,Sarolangun,SRL
Jambi,Kabupaten Batanghari,Muara Bulian,MBN
Jambi,Kabupaten Muaro Jambi,Sengeti,SNT
Jambi,Kabupaten Tanjung Jabung Barat,Kuala Tungkal,KLT
Jambi,Kabupaten Tanjung Jabung Timur,Muara Sabak,MSK
Jambi,Kabupaten Bungo,Muara Bungo,MRB
Jambi,Kabupaten Tebo,Muara Tebo,MRT
Jambi,Kota Jambi,Jambi,JMB
Jambi,Kota Sungai Penuh,Sungai Penuh,SPN
